recorded_at,tracker_id,policy_version,policy_id,policy_status,decision,outcome_status,signal_date,feature_date,price_date,planned_entry_date,planned_exit_date,industry_code,industry_name,parent_industry,selection_mode,selection_feature,selection_score,parent_cap,rank,valuation_score,oversold_score,turn_score,liquidity_score,actual_entry_date,actual_exit_date,realized_return,benchmark_return,realized_relative_return,top_quintile_hit,settlement_status,settlement_notes
2026-06-20T14:28:29,v4_85_parent_neutral_forward_2026-06-18,4.85.0,industry_rebound_leader_parent_neutral_v4_85_frozen_rule,research_only_no_robust_parent_neutral_rule,planned_observation,pending_forward_observation,2026-06-18,2026-06-18,2026-06-18,2026-06-23,2026-07-21,801017,养殖业,农林牧渔,global_rank_parent_cap1,oversold_liquidity_score,0.88020587,1,1,0.65322581,0.96236559,0.12903226,0.41463415,,,,,,,not_due,冻结 V4.85 最优候选规则前推观察；未到退出日不填未来收益。
2026-06-20T14:28:29,v4_85_parent_neutral_forward_2026-06-18,4.85.0,industry_rebound_leader_parent_neutral_v4_85_frozen_rule,research_only_no_robust_parent_neutral_rule,planned_observation,pending_forward_observation,2026-06-18,2026-06-18,2026-06-18,2026-06-23,2026-07-21,801194,保险Ⅱ,非银金融,global_rank_parent_cap1,oversold_liquidity_score,0.87399357,1,2,0.89247312,0.90053763,0.28225806,0.72357724,,,,,,,not_due,冻结 V4.85 最优候选规则前推观察；未到退出日不填未来收益。
2026-06-20T14:28:29,v4_85_parent_neutral_forward_2026-06-18,4.85.0,industry_rebound_leader_parent_neutral_v4_85_frozen_rule,research_only_no_robust_parent_neutral_rule,planned_observation,pending_forward_observation,2026-06-18,2026-06-18,2026-06-18,2026-06-23,2026-07-21,801764,游戏Ⅱ,传媒,global_rank_parent_cap1,oversold_liquidity_score,0.85083596,1,3,0.58198925,0.87903226,0.25000000,0.69105691,,,,,,,not_due,冻结 V4.85 最优候选规则前推观察；未到退出日不填未来收益。
2026-06-20T14:28:29,v4_85_parent_neutral_forward_2026-06-18,4.85.0,industry_rebound_leader_parent_neutral_v4_85_frozen_rule,research_only_no_robust_parent_neutral_rule,planned_observation,pending_forward_observation,2026-06-18,2026-06-18,2026-06-18,2026-06-23,2026-07-21,801994,教育,社会服务,global_rank_parent_cap1,oversold_liquidity_score,0.84620050,1,4,0.26612903,0.98118280,0.20161290,0.08130081,,,,,,,not_due,冻结 V4.85 最优候选规则前推观察；未到退出日不填未来收益。
2026-06-20T14:28:29,v4_85_parent_neutral_forward_2026-06-18,4.85.0,industry_rebound_leader_parent_neutral_v4_85_frozen_rule,research_only_no_robust_parent_neutral_rule,planned_observation,pending_forward_observation,2026-06-18,2026-06-18,2026-06-18,2026-06-23,2026-07-21,801095,乘用车,汽车,global_rank_parent_cap1,oversold_liquidity_score,0.84152898,1,5,0.56182796,0.89247312,0.29032258,0.55284553,,,,,,,not_due,冻结 V4.85 最优候选规则前推观察；未到退出日不填未来收益。
2026-06-20T14:28:29,v4_85_parent_neutral_forward_2026-06-18,4.85.0,industry_rebound_leader_parent_neutral_v4_85_frozen_rule,research_only_no_robust_parent_neutral_rule,planned_observation,pending_forward_observation,2026-06-18,2026-06-18,2026-06-18,2026-06-23,2026-07-21,801203,一般零售,商贸零售,global_rank_parent_cap1,oversold_liquidity_score,0.83208104,1,6,0.63709677,0.88709677,0.27419355,0.52032520,,,,,,,not_due,冻结 V4.85 最优候选规则前推观察；未到退出日不填未来收益。
2026-06-20T14:28:29,v4_85_parent_neutral_forward_2026-06-18,4.85.0,industry_rebound_leader_parent_neutral_v4_85_frozen_rule,research_only_no_robust_parent_neutral_rule,planned_observation,pending_forward_observation,2026-06-18,2026-06-18,2026-06-18,2026-06-23,2026-07-21,801125,白酒Ⅱ,食品饮料,global_rank_parent_cap1,oversold_liquidity_score,0.82676698,1,7,0.64784946,0.85215054,0.24193548,0.68292683,,,,,,,not_due,冻结 V4.85 最优候选规则前推观察；未到退出日不填未来收益。
2026-06-20T14:28:29,v4_85_parent_neutral_forward_2026-06-18,4.85.0,industry_rebound_leader_parent_neutral_v4_85_frozen_rule,research_only_no_robust_parent_neutral_rule,planned_observation,pending_forward_observation,2026-06-18,2026-06-18,2026-06-18,2026-06-23,2026-07-21,801952,焦炭Ⅱ,煤炭,global_rank_parent_cap1,oversold_liquidity_score,0.80369788,1,8,0.40860215,0.93548387,0.20564516,0.05691057,,,,,,,not_due,冻结 V4.85 最优候选规则前推观察；未到退出日不填未来收益。
2026-06-20T14:28:29,v4_85_parent_neutral_forward_2026-06-18,4.85.0,industry_rebound_leader_parent_neutral_v4_85_frozen_rule,research_only_no_robust_parent_neutral_rule,planned_observation,pending_forward_observation,2026-06-18,2026-06-18,2026-06-18,2026-06-23,2026-07-21,801113,小家电,家用电器,global_rank_parent_cap1,oversold_liquidity_score,0.78192696,1,9,0.54032258,0.88978495,0.12500000,0.17073171,,,,,,,not_due,冻结 V4.85 最优候选规则前推观察；未到退出日不填未来收益。
2026-06-20T14:28:29,v4_85_parent_neutral_forward_2026-06-18,4.85.0,industry_rebound_leader_parent_neutral_v4_85_frozen_rule,research_only_no_robust_parent_neutral_rule,planned_observation,pending_forward_observation,2026-06-18,2026-06-18,2026-06-18,2026-06-23,2026-07-21,801981,个护用品,美容护理,global_rank_parent_cap1,oversold_liquidity_score,0.77962890,1,10,0.55913978,0.90860215,0.47580645,0.04878049,,,,,,,not_due,冻结 V4.85 最优候选规则前推观察；未到退出日不填未来收益。
